year,metric,language,percent,sample_size,population,source_url,published_at
2018,jetbrains-planned-adoption,Objective-C,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,F#,1,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Groovy,1,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-planned-adoption,Lua,1,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,JavaScript,64,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,HTML / CSS,55,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Java,51,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,SQL and its extensions,47,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Python,41,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Shell scripting languages,29,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,PHP,26,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,C#,22,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,C++,18,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,TypeScript,17,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,C,16,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Other,14,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Go,12,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Kotlin,9,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Ruby,8,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Swift,8,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Objective-C,5,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Scala,5,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Groovy,4,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Lua,3,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,R,3,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Assembly,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Elixir,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Rust,2,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Clojure / ClojureScript,1,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,F#,1,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2018,jetbrains-used-last-12-months,Haskell,1,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
2019,jetbrains-planned-adoption,Go,13,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Kotlin,10,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Python,9,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Rust,7,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,TypeScript,7,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,JavaScript,5,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Scala,5,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Swift,5,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,C#,4,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,C++,4,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Dart,4,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Java,4,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Other,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,R,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Ruby,3,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,C,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,Elixir,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
2019,jetbrains-planned-adoption,HTML / CSS,2,6993,developers worldwide (weighted),https://www.jetbrains.com/lp/devecosystem-2019/,
